C.D.S.  -  SIMBAD4 rel 1.8  -  2026.05.10CEST06:15:14

Vmag < 6 & maintypes='*'
------------------------

Number of objects : 5056

 #  ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;         pm         ;   plx    ;  radvel   ;  redshift  ;    cz     ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag G  ;     spec. type      
----;-----------------------------------;---;---------------------------------------;--------------------;----------;-----------;------------;-----------;---------;---------;---------;---------;---------;---------------------
2542;HD 90362                           ;PM*;10 25 44.2709069664 -07 03 35.376368976;-135.763 130.341    ;7.127     ;35.950500  ;0.000120    ;35.95      ;8.94     ;7.08     ;5.56     ;4.31     ;4.935474 ;K6IIIFe-0.5          
2543;* mu. Hya                          ;PM*;10 26 05.4261455478 -16 50 10.638977124;-128.819 -80.185    ;13.3710   ;40.81      ;0.000136    ;40.81      ;7.11     ;5.29     ;3.81     ;2.70     ;3.266733 ;K4III                
2544;HD 90957                           ;PM*;10 29 28.9730889336 -29 39 49.799607588;  -59.797 9.116     ;8.7742    ;7.05       ;0.000024    ;7.05       ;     ~   ;6.992    ;5.565    ;     ~   ;5.077949 ;K3III                
2545;* del Ant                          ;*  ;10 29 35.3788231536 -30 36 25.434381816;  -29.598 1.704     ;7.0076    ;14.00      ;0.000047    ;14.00      ;5.34     ;5.52     ;5.56     ;     ~   ;5.550309 ;B9/9.5V              
2546;* alf Ant                          ;PM*;10 27 09.1006393440 -31 04 04.004901300;  -81.320 9.798     ;8.9069    ;12.2       ;0.000041    ;12.20      ;7.33     ;5.70     ;4.25     ;3.15     ;3.732725 ;K3III                
2547;HD 90132                           ;PM*;10 23 29.2960770216 -38 00 35.425518588;-158.833 -53.705    ;24.2034   ;7.170      ;0.000024    ;7.17       ;     ~   ;5.564    ;5.329    ;     ~   ;5.277537 ;A8V                  
2548;* r Vel                            ;PM*;10 22 19.5848462136 -41 38 59.863133688; -27.720 60.366     ;15.7328   ;21.53      ;0.000072    ;21.53      ;7.04     ;5.95     ;4.83     ;4.03     ;4.516285 ;K1III                
2549;HD 91312                           ;SB*;10 33 13.8899225424 +40 25 31.966831164; -136.291 1.774     ;29.1453   ;8.24       ;0.000027    ;8.24       ;     ~   ;4.921    ;4.715    ;     ~   ;4.660824 ;A7IV                 
2550;* 32 LMi                           ;*  ;10 30 06.4476095952 +38 55 30.475814988; -16.446 -4.506     ;4.4749    ;2.00       ;0.000007    ;2.00       ;     ~   ;5.859    ;5.784    ;     ~   ;5.776226 ;A4V                  
2551;* 34 LMi                           ;*  ;10 33 30.9110446608 +34 59 19.300642224; -28.397 -3.072     ;6.3892    ;7.00       ;0.000023    ;7.00       ;5.640    ;5.610    ;5.580    ;     ~   ;5.547833 ;A2Vn                 
2552;* 33 LMi                           ;Em*;10 31 51.3753968952 +32 22 46.405276428;   16.652 7.876     ;12.1011   ;-15.89     ;-0.000053   ;-15.89     ;     ~   ;6.001    ;5.905    ;     ~   ;5.879415 ;A0Va-                
2553;* 37 LMi                           ;*  ;10 38 43.2128104658 +31 58 34.463378806;    0.046 7.551     ;5.8398    ;-7.71      ;-0.000026   ;-7.71      ;     ~   ;5.494    ;4.677    ;     ~   ;4.486387 ;G2.5IIIa             
2554;* 46 Leo                           ;LP*;10 32 11.7734449491 +14 08 14.170878403; -41.712 24.774     ;3.6070    ;35.22      ;0.000117    ;35.22      ;9.18     ;7.14     ;5.46     ;     ~   ;4.580366 ;M1III                
2555;* rho Leo                          ;s*b;10 32 48.6703908997 +09 18 23.705339948;  -6.350 -3.300     ;1.5913    ;42.00      ;0.000140    ;42.00      ;2.780    ;3.720    ;3.870    ;3.90     ;3.825666 ;B1Iab                
2556;* 48 Leo                           ;PM*;10 34 48.0135217512 +06 57 13.501002096;-102.355 56.865     ;11.9766   ;4.94       ;0.000016    ;4.94       ;     ~   ;6.008    ;5.070    ;     ~   ;4.820945 ;G8.5IIIFe-1          
2557;* bet Sex                          ;a2*;10 30 17.4802898904 -00 38 13.314537996;-39.290 -23.582     ;8.8899    ;11.6       ;0.000039    ;11.60      ;4.43     ;4.96     ;5.10     ;5.13     ;5.036000 ;B6V                  
2558;HD 91889                           ;PM*;10 36 32.3819362122 -12 13 48.440040258;267.100 -672.845    ;40.3975   ;-6.02      ;-0.000020   ;-6.02      ;     ~   ;6.22     ;5.71     ;     ~   ;5.566985 ;F8V                  
2559;HD 91120                           ;Be*;10 30 59.8371178656 -13 35 18.495281472; -34.669 -1.426     ;6.1617    ;12         ;0.000040    ;12.00      ;5.38     ;5.54     ;5.58     ;     ~   ;5.570088 ;B9IIIe               
2560;V* U Hya                           ;C* ;10 37 33.2729535 -13 23 04.352923      ;   42.59 -37.72     ;4.80      ;-25.80     ;-0.000086   ;-25.80     ;13.29    ;7.51     ;4.82     ;3.05     ;3.857222 ;C-N5                 
2561;* phi Hya                          ;SB*;10 38 34.9476736488 -16 52 35.634671148; -95.499 25.027     ;12.4255   ;16.58      ;0.000055    ;16.58      ;     ~   ;5.824    ;4.903    ;     ~   ;4.648697 ;G8IIIb               
2562;* 44 Hya                           ;*  ;10 34 00.8845579248 -23 44 42.609007644; -11.135 21.596     ;3.721     ;-5.10      ;-0.000017   ;-5.10      ;     ~   ;6.644    ;5.060    ;     ~   ;4.412926 ;K5III                
2563;HD 92036                           ;PM*;10 37 13.7246517480 -27 24 45.487918116;-113.749 20.812     ;6.885     ;16.9       ;0.000056    ;16.90      ;8.46     ;6.51     ;4.89     ;     ~   ;4.074122 ;M1III:Ba0.5          
2564;V* U Ant                           ;C* ;10 35 12.8510147472 -39 33 45.324020448;  -31.504 2.619     ;3.6154    ;41.00      ;0.000137    ;41.00      ;15.32    ;8.22     ;5.38     ;3.18     ;4.187924 ;C-N3                 
2565;* 42 LMi                           ;*  ;10 45 51.8946723264 +30 40 56.307458280;-20.344 -38.234     ;7.915     ;12.00      ;0.000040    ;12.00      ;     ~   ;5.299    ;5.352    ;     ~   ;5.341445 ;A1Vn                 
2566;* 40 LMi                           ;PM*;10 43 01.8824111712 +26 19 32.028671352;-98.971 -65.543     ;21.2215   ;10.00      ;0.000033    ;10.00      ;     ~   ;5.682    ;5.506    ;     ~   ;5.474671 ;A4Vn                 
2567;* 41 LMi                           ;PM*;10 43 24.9570065966 +23 11 18.251765975; -114.605 8.231     ;13.6957   ;18.95      ;0.000063    ;18.95      ;     ~   ;5.108    ;5.070    ;     ~   ;5.053822 ;A3Vn                 
2568;* m Leo                            ;PM*;10 46 24.5460859440 +18 53 29.480282196; 95.294 -40.995     ;17.7946   ;-7.46      ;-0.000025   ;-7.46      ;     ~   ;6.640    ;5.492    ;     ~   ;5.177910 ;K3III                
2569;* k Leo                            ;PM*;10 46 25.2771855408 +14 11 40.722135792;-125.375 -64.870    ;11.6536   ;29.57      ;0.000099    ;29.57      ;     ~   ;6.386    ;5.478    ;     ~   ;5.250113 ;G4III:               
2570;* l Leo                            ;*  ;10 49 15.4303562232 +10 32 42.718489512; -3.569 -25.597     ;9.1892    ;-6.8       ;-0.000023   ;-6.80      ;     ~   ;5.338    ;5.312    ;     ~   ;5.295300 ;A2V                  
2571;* 35 Sex                           ;** ;10 43 20.92089 +04 44 51.5965          ;   21.82 -34.83     ;5.90      ;-2.18      ;-0.000007   ;-2.18      ;     ~   ;6.96     ;5.79     ;     ~   ;     ~   ;K2II-III+K1II-III    
2572;HD 93655                           ;*  ;10 48 40.5554431800 -01 57 32.024546604;  -19.738 8.108     ;5.8128    ;2.5        ;0.000008    ;2.50       ;9.47     ;7.53     ;5.93     ;     ~   ;5.142053 ;M1III                
2573;HD 94014                           ;PM*;10 51 05.4081454560 -03 05 33.600197652;-54.616 -10.976     ;6.1044    ;35.68      ;0.000119    ;35.68      ;     ~   ;7.427    ;5.941    ;     ~   ;5.444381 ;K4/5III              
2574;* 41 Sex                           ;SB*;10 50 18.0563876088 -08 53 51.953777484; -5.694 -15.814     ;10.5160   ;-38.33     ;-0.000128   ;-38.33     ;     ~   ;5.949    ;5.791    ;     ~   ;5.769092 ;A2/3III              
2575;HD 93833                           ;*  ;10 49 43.4917078212 -09 51 09.685878034;  5.882 -30.041     ;9.4637    ;40.3       ;0.000134    ;40.30      ;     ~   ;6.917    ;5.842    ;     ~   ;5.558107 ;K0III                
2576;* nu. Hya                          ;PM*;10 49 37.4882533447 -16 11 37.129417316; 92.912 199.642     ;23.7940   ;-1.37      ;-0.000005   ;-1.37      ;5.62     ;4.35     ;3.11     ;2.17     ;2.735664 ;K1.5IIIHdel-0.5      
2577;* b01 Hya                          ;*  ;10 46 52.0546180704 -17 17 48.749722584;-15.864 -18.786     ;17.7995   ;0.23       ;0.000001    ;0.23       ;     ~   ;5.53     ;5.44     ;     ~   ;5.417086 ;A3V                  
2578;HD 93657                           ;*  ;10 48 14.1108874200 -31 41 16.248875352; -31.118 -1.910     ;6.7639    ;19.20      ;0.000064    ;19.20      ;     ~   ;5.885    ;5.858    ;     ~   ;5.862410 ;A1V                  
2579;HD 92845                           ;*  ;10 42 43.1843606544 -32 42 56.413024992;  -28.903 1.262     ;4.1113    ;-0.26      ;-0.000001   ;-0.26      ;     ~   ;5.619    ;5.624    ;     ~   ;5.614866 ;A0V                  
2580;HD 93905                           ;*  ;10 49 57.0176782224 -34 03 29.464326648;  -40.211 6.743     ;8.1133    ;-11.61     ;-0.000039   ;-11.61     ;     ~   ;5.630    ;5.599    ;     ~   ;5.596713 ;A1V                  
2581;* ome UMa                          ;SB*;10 53 58.7409163680 +43 11 23.847024876; 44.033 -23.714     ;13.2910   ;-3.16      ;-0.000011   ;-3.16      ;     ~   ;4.633    ;4.664    ;     ~   ;4.652270 ;A1VsSi:              
2582;* 49 UMa                           ;PM*;11 00 50.4171801240 +39 12 43.474839336;-72.985 -27.041     ;9.3797    ;3.3        ;0.000011    ;3.30       ;     ~   ;5.306    ;5.062    ;     ~   ;5.012182 ;F0Vs                 
2583;* 46 LMi                           ;PM*;10 53 18.6891667765 +34 12 53.611679098;90.625 -278.664     ;32.9210   ;15.69      ;0.000052    ;15.69      ;5.79     ;4.87     ;3.83     ;3.00     ;3.494125 ;K0+III-IV            
2584;* 47 LMi                           ;PM*;10 54 58.1789874168 +34 02 05.274803508;-58.094 -44.792     ;9.9418    ;-27.90     ;-0.000093   ;-27.90     ;     ~   ;6.757    ;5.725    ;     ~   ;5.447774 ;G7III:               
2585;* 46 UMa                           ;PM*;10 55 44.3842839576 +33 30 24.944247000;-111.772 -27.303    ;13.5727   ;-23.04     ;-0.000077   ;-23.04     ;     ~   ;6.123    ;5.034    ;9.7      ;4.706735 ;K1III                
2586;* 54 Leo                           ;** ;10 55 36.79658 +24 44 58.9823          ;  -80.03 -15.36     ;11.37     ;5.40       ;0.000018    ;5.40       ;     ~   ;4.34     ;4.32     ;     ~   ;     ~   ;A1                   
2587;* 54 Leo A                         ;PM*;10 55 36.8013543552 +24 44 59.022329568;-76.977 -14.698     ;10.742    ;5.4        ;0.000018    ;5.40       ;     ~   ;4.478    ;4.477    ;6.04     ;4.383999 ;A1V                  
2588;* b Leo                            ;Pe*;11 02 19.7756641720 +20 10 47.424184800;  -9.847 39.554     ;26.5651   ;-11.11     ;-0.000037   ;-11.11     ;     ~   ;4.452    ;4.398    ;     ~   ;4.404736 ;kA1VmA3V             
2589;* c Leo                            ;PM*;11 00 44.8020233616 +06 06 05.202793080;-52.013 -23.524     ;21.4498   ;-6.61      ;-0.000022   ;-6.61      ;     ~   ;5.133    ;4.977    ;     ~   ;4.949743 ;A5III                
2590;* 56 Leo                           ;LP?;10 56 01.4682688998 +06 11 07.341317877; -22.852 -7.293     ;8.7454    ;-8.39      ;-0.000028   ;-8.39      ;8.45     ;7.24     ;5.78     ;3.53     ;3.834727 ;M5.5III:             
2591;* 58 Leo                           ;** ;11 00 33.6471432816 +03 37 02.992384200; 13.868 -15.792     ;9.6348    ;5.98       ;0.000020    ;5.98       ;     ~   ;6.007    ;4.838    ;     ~   ;4.501623 ;K0.5IIIFe-0.5        
2592;* 55 Leo                           ;PM*;10 55 42.3961058578 +00 44 12.909374947; 107.162 -0.673     ;21.9667   ;11.13      ;0.000037    ;11.13      ;     ~   ;6.35     ;5.93     ;     ~   ;5.884517 ;F3/5V                
2593;* p01 Leo                          ;** ;10 53 43.7123043648 -02 07 45.139987848; -83.401 15.387     ;9.677     ;20.28      ;0.000068    ;20.28      ;     ~   ;6.417    ;5.449    ;     ~   ;5.197312 ;G8III                
2594;* p03 Leo                          ;PM*;11 03 36.5918764464 -00 00 02.990493144;  -60.211 1.978     ;6.6158    ;0.10       ;0.000000    ;0.10       ;     ~   ;7.157    ;5.927    ;     ~   ;5.598446 ;K2III                
2595;* p02 Leo                          ;*  ;11 01 49.6762854745 -02 29 04.525646926;  9.014 -35.370     ;5.4948    ;-12.70     ;-0.000042   ;-12.70     ;8.29     ;6.37     ;4.75     ;3.42     ;4.026126 ;M0III                
2596;HD 95808                           ;PM*;11 03 14.8792790016 -11 18 12.488375304;-82.299 -106.645    ;10.3622   ;-8.90      ;-0.000030   ;-8.90      ;     ~   ;6.450    ;5.511    ;     ~   ;5.264592 ;G7-IIIb              
2597;HD 94481                           ;*  ;10 54 17.7770384160 -13 45 28.935080424;   -6.612 8.714     ;6.4288    ;-1.22      ;-0.000004   ;-1.22      ;     ~   ;6.487    ;5.651    ;     ~   ;5.438056 ;G4III-IIIb           
2598;HD 95314                           ;*  ;11 00 11.6928209664 -14 05 00.129016680;-10.034 -28.874     ;7.4818    ;-6.4       ;-0.000021   ;-6.40      ;     ~   ;7.371    ;5.857    ;     ~   ;5.281377 ;K5III                
2599;HD 95234                           ;*  ;10 59 30.9271237992 -16 21 13.335565428; -44.170 -9.406     ;4.0171    ;37.99      ;0.000127    ;37.99      ;     ~   ;7.483    ;5.879    ;     ~   ;5.070237 ;M1III                
2600;* alf Crt                          ;PM*;10 59 46.4651557828 -18 17 55.630394216;-462.303 128.614    ;20.3693   ;47.54      ;0.000159    ;47.54      ;6.14     ;5.16     ;4.07     ;3.27     ;3.777938 ;K0IIIb               
2601;* b03 Hya                          ;PM*;10 53 29.5322257872 -20 08 19.426040232;80.915 -238.566     ;33.2327   ;-3.994     ;-0.000013   ;-3.99      ;     ~   ;5.71     ;5.24     ;     ~   ;5.111522 ;F6V                  
2602;HD 95221                           ;PM*;10 59 13.7418648960 -33 44 15.335436552; -5.301 -59.815     ;20.1653   ;-8.10      ;-0.000027   ;-8.10      ;     ~   ;6.08     ;5.73     ;     ~   ;5.654320 ;F2V                  
2603;* iot Ant                          ;PM*;10 56 43.0512189504 -37 08 15.962675568;74.069 -124.443     ;15.7132   ;2.30       ;0.000008    ;2.30       ;6.47     ;5.63     ;4.60     ;3.85     ;4.319348 ;K0III                
2604;* i Vel                            ;*  ;11 00 09.2642063477 -42 13 33.090390393;   23.077 3.942     ;16.2011   ;-3.11      ;-0.000010   ;-3.11      ;4.62     ;4.50     ;4.39     ;4.26     ;4.333380 ;A3V                  
2605;HD 95347                           ;PM*;10 59 59.3780203680 -43 48 25.597387224;  -62.840 9.939     ;9.4678    ;-5.00      ;-0.000017   ;-5.00      ;     ~   ;5.731    ;5.799    ;     ~   ;5.810804 ;B8V                  
2606;HD 96834                           ;PM*;11 09 38.5003350336 +43 12 27.843659208; -67.309 -7.309     ;5.4242    ;19.11      ;0.000064    ;19.11      ;9.36     ;7.46     ;5.89     ;     ~   ;4.986831 ;M2III                
2607;V* CO UMa                          ;LP*;11 09 19.0795189080 +36 18 33.766391952;-44.057 -23.201     ;7.5976    ;22.11      ;0.000074    ;22.11      ;8.75     ;7.25     ;5.74     ;     ~   ;4.433679 ;M4III                
2608;* 67 Leo                           ;*  ;11 08 49.0879174224 +24 39 30.577603932;   3.298 -6.403     ;7.3712    ;-5.6       ;-0.000019   ;-5.60      ;     ~   ;5.755    ;5.698    ;     ~   ;5.692273 ;A0IV                 
2609;* del Leo                          ;PM*;11 14 06.50142 +20 31 25.3853          ; 143.42 -129.88     ;55.82     ;-20.90     ;-0.000070   ;-20.90     ;2.79     ;2.68     ;2.53     ;2.44     ;2.571632 ;A5IV(n)              
2610;* tet Leo                          ;PM*;11 14 14.4056705348 +15 25 46.455911128;-60.538 -78.675     ;20.3160   ;7.536      ;0.000025    ;7.54       ;3.40     ;3.33     ;3.35     ;3.32     ;3.339625 ;A2IV                 
2611;* chi Leo                          ;PM*;11 05 01.0278085241 +07 20 09.624129314;-345.034 -46.986    ;34.6007   ;6.957050   ;0.000023    ;6.96       ;     ~   ;4.94     ;4.62     ;4.4      ;4.555182 ;F2III                
2612;HD 97605                           ;PM*;11 14 01.8337384104 +08 03 38.501923716;45.852 -106.969     ;15.2125   ;16.372601  ;0.000055    ;16.37      ;     ~   ;6.926    ;5.793    ;     ~   ;5.476933 ;K3III                
2613;* p05 Leo                          ;*  ;11 13 45.5531027136 -00 04 10.208010072;  -46.541 2.767     ;6.2602    ;4.39       ;0.000015    ;4.39       ;     ~   ;5.374    ;5.404    ;     ~   ;5.386583 ;A0V                  
2614;* bet Crt                          ;SB*;11 11 39.4787167248 -22 49 33.052973988; 7.827 -102.911     ;10.3043   ;8.13       ;0.000027    ;8.13       ;     ~   ;4.475    ;4.449    ;     ~   ;4.433578 ;A1V                  
2615;* chi01 Hya                        ;** ;11 05 19.9025488416 -27 17 37.046751540;-187.524 -3.099     ;22.5314   ;19.10      ;0.000064    ;19.10      ;     ~   ;5.281    ;4.912    ;6.50     ;4.767822 ;F3IV/V               
2616;* chi02 Hya                        ;SB*;11 05 57.5699938080 -27 17 16.272708396; 34.417 -16.477     ;4.7616    ;47.24      ;0.000158    ;47.24      ;     ~   ;5.64     ;5.71     ;     ~   ;5.672903 ;B8V                  
2617;* 10 Crt                           ;PM*;11 08 43.9901058696 -28 04 50.353910328;-69.211 -22.181     ;18.3139   ;16.00      ;0.000053    ;16.00      ;     ~   ;5.484    ;5.421    ;     ~   ;5.421471 ;A1V                  
2618;HD 97023                           ;*  ;11 09 53.3940138672 -32 22 03.104842332; 18.242 -29.562     ;9.1345    ;-1.80      ;-0.000006   ;-1.80      ;     ~   ;5.807    ;5.766    ;     ~   ;5.775629 ;A1V                  
2619;HD 96146                           ;** ;11 04 54.1965538248 -35 48 16.816685832;  -24.217 4.463     ;4.6163    ;11.00      ;0.000037    ;11.00      ;     ~   ;5.430    ;5.414    ;     ~   ;5.365636 ;A0V                  
2620;* 46 Cen                           ;a2*;11 07 16.6899055992 -42 38 19.247612928; -83.662 41.467     ;11.2550   ;0.73       ;0.000002    ;0.73       ;     ~   ;5.25     ;5.24     ;     ~   ;5.220193 ;ApSrCrEu             
2621;HD 97576                           ;*  ;11 13 14.6852436648 -44 22 19.986043080;   -5.662 1.029     ;3.207     ;1.67       ;0.000006    ;1.67       ;     ~   ;7.378    ;5.761    ;     ~   ;5.052975 ;K5/M0III             
2622;* 56 UMa                           ;SB*;11 22 49.5779879928 +43 28 57.714470868;-35.561 -10.651     ;5.8813    ;1.848790   ;0.000006    ;1.85       ;6.86     ;6.04     ;5.03     ;4.30     ;4.725930 ;G8IIIa               
2623;* 55 UMa                           ;SB*;11 19 07.8861142632 +38 11 08.135935332;-47.378 -75.708     ;16.0516   ;-3.0       ;-0.000010   ;-3.00      ;     ~   ;4.90     ;4.80     ;     ~   ;4.694619 ;A2V                  
2624;* nu. UMa                          ;*  ;11 18 28.7372062295 +33 05 39.501852796; -26.139 27.892     ;7.9823    ;-9.63      ;-0.000032   ;-9.63      ;6.44     ;4.89     ;3.49     ;2.43     ;3.020445 ;K3-III:              
2625;* ksi UMa A                        ;SB*;11 18 10.901164 +31 31 44.97910        ;  -453.7 -591.4     ;      ~   ;-26.78     ;-0.000089   ;-26.78     ;     ~   ;4.79     ;4.25     ;     ~   ;4.127460 ;F8.5:V               
2626;* ksi UMa B                        ;SB*;11 18 10.8360115405 +31 31 44.821690914;-339.398 -607.892   ;114.4867  ;-15.9      ;-0.000053   ;-15.90     ;     ~   ;5.41     ;4.77     ;4.4      ;4.640213 ;G2V                  
2627;* ksi UMa                          ;RS*;11 18 10.931880 +31 31 45.44004        ;  -453.7 -591.4     ;      ~   ;-18.2      ;-0.000061   ;-18.20     ;4.42     ;4.38     ;3.79     ;     ~   ;     ~   ;F8.5:V+G2V           
2628;* 72 Leo                           ;LP*;11 15 12.2283936624 +23 05 43.832242337; -25.612 -5.995     ;4.2936    ;14.76      ;0.000049    ;14.76      ;8.14     ;6.29     ;4.63     ;3.07     ;3.630643 ;M3IIb:               
2629;* 81 Leo                           ;PM*;11 25 36.3727820736 +16 27 23.532637608;-142.871 -5.605     ;21.3634   ;18.88      ;0.000063    ;18.88      ;     ~   ;5.939    ;5.572    ;10.0     ;5.482641 ;F2V                  
2630;* n Leo                            ;SB*;11 15 51.8801100552 +13 18 27.234958860;  7.895 -10.518     ;7.0432    ;14.64      ;0.000049    ;14.64      ;7.61     ;6.52     ;5.32     ;     ~   ;4.925633 ;K2III                
2631;HD 99196                           ;PM*;11 24 58.9246049736 +11 25 49.049358276;-101.683 -9.533     ;6.5541    ;41.76      ;0.000139    ;41.76      ;     ~   ;7.170    ;5.788    ;     ~   ;5.326325 ;K4III                
2632;* iot Leo                          ;SB*;11 23 55.4532319011 +10 31 46.222507078;149.407 -80.702     ;42.3548   ;-11.80     ;-0.000039   ;-11.80     ;     ~   ;4.41     ;4.01     ;     ~   ;3.907387 ;F1IV                 
2633;* sig Leo                          ;PM*;11 21 08.1937792083 +06 01 45.558012784;-92.670 -12.120     ;13.5551   ;-7.21      ;-0.000024   ;-7.21      ;     ~   ;3.984    ;4.040    ;     ~   ;4.054757 ;B9.5Vs               
2634;* 75 Leo                           ;PM*;11 17 17.4004699320 +02 00 38.001093758;54.983 -142.154     ;9.9328    ;-59.46     ;-0.000198   ;-59.45     ;8.54     ;6.70     ;5.18     ;3.91     ;4.500076 ;M0III                
2635;* 76 Leo                           ;PM*;11 18 54.9596389944 +01 39 01.423590264;-37.527 -55.805     ;11.594    ;5.668080   ;0.000019    ;5.67       ;     ~   ;6.937    ;5.904    ;     ~   ;5.620847 ;K0III                
2636;* 79 Leo                           ;*  ;11 24 02.3275509000 +01 24 27.945092772; -16.268 -0.088     ;8.7638    ;-9.87      ;-0.000033   ;-9.87      ;     ~   ;6.326    ;5.386    ;     ~   ;5.137900 ;G8III-IIIb           
2637;* phi Leo                          ;PM*;11 16 39.6997760978 -03 39 05.771550444;-109.951 -36.611    ;17.2827   ;-3.00      ;-0.000010   ;-3.00      ;     ~   ;4.654    ;4.450    ;     ~   ;4.417504 ;A5V                  
2638;* eps Crt                          ;*  ;11 24 36.5912121144 -10 51 33.575503752; -25.154 24.689     ;8.1780    ;2.00       ;0.000007    ;2.00       ;     ~   ;6.338    ;4.802    ;     ~   ;4.127171 ;K4III                
2639;* del Crt                          ;PM*;11 19 20.4473515372 -14 46 42.743409457;-122.958 207.083    ;17.0170   ;-4.94      ;-0.000016   ;-4.94      ;5.66     ;4.67     ;3.56     ;2.73     ;3.227789 ;G9IIICH0.5           
2640;* gam Crt                          ;PM*;11 24 52.9236160183 -17 41 02.442764421;  -96.811 3.650     ;37.7065   ;0.58       ;0.000002    ;0.58       ;     ~   ;4.25     ;4.06     ;6.12     ;4.047224 ;A7V(n)               
2641;* lam Crt                          ;SB*;11 23 21.8814666155 -18 46 48.128136896;-319.253 -17.823    ;22.0397   ;11.05      ;0.000037    ;11.05      ;     ~   ;5.51     ;5.09     ;     ~   ;4.959892 ;F5III                
2642;HD 98993                           ;*  ;11 23 12.6876726096 -36 09 53.176171464; -25.667 -0.783     ;6.0972    ;-1.57      ;-0.000005   ;-1.57      ;     ~   ;6.441    ;4.991    ;     ~   ;4.439865 ;K4III                
2643;HD 99322                           ;PM*;11 25 29.4535268784 -36 03 47.022994800;-106.925 18.064     ;12.4363   ;5.97       ;0.000020    ;5.97       ;     ~   ;6.207    ;5.219    ;     ~   ;4.968951 ;K0III                
2644;HD 99333                           ;*  ;11 25 33.0975869136 -37 44 51.268739856;-41.595 -11.118     ;7.3549    ;7.49       ;0.000025    ;7.49       ;     ~   ;7.393    ;5.918    ;     ~   ;4.785250 ;M3III                
2645;* 58 UMa                           ;PM*;11 30 31.1311867776 +43 10 23.668957776; -49.422 81.735     ;19.3796   ;-33.20     ;-0.000111   ;-33.20     ;     ~   ;6.450    ;5.942    ;     ~   ;5.809020 ;F4V                  
2646;* 57 UMa                           ;** ;11 29 04.12195 +39 20 13.1119          ;   -53.63 13.63     ;15.33     ;-11.3      ;-0.000038   ;-11.30     ;     ~   ;5.373    ;5.354    ;     ~   ;     ~   ;A2V                  
2647;HD 100808                          ;** ;11 36 17.95669 +27 46 52.8297          ;    24.11 15.83     ;13.97     ;8.00       ;0.000027    ;8.00       ;6.120    ;6.050    ;5.810    ;     ~   ;     ~   ;A8                   
2648;* 86 Leo                           ;PM*;11 30 29.0276281392 +18 24 35.305344936; -76.401 23.613     ;9.4403    ;24.37      ;0.000081    ;24.37      ;     ~   ;6.621    ;5.549    ;     ~   ;5.242752 ;K0III                
2649;* 90 Leo                           ;** ;11 34 42.49024 +16 47 48.8956          ;   -10.60 -0.30     ;1.72      ;6.40       ;0.000021    ;6.40       ;5.150    ;5.780    ;5.940    ;     ~   ;     ~   ;B6.6(IV)+B3.7(V)     
2650;* 85 Leo                           ;PM*;11 29 41.8437616752 +15 24 47.756565288;-31.040 -49.515     ;7.028     ;-28.52     ;-0.000095   ;-28.52     ;     ~   ;7.120    ;5.734    ;     ~   ;5.298883 ;K4III                
2651;* tau Leo                          ;*  ;11 27 56.2395231024 +02 51 22.554108900; 16.851 -10.756     ;6.1072    ;-8.82      ;-0.000029   ;-8.82      ;     ~   ;5.940    ;4.943    ;     ~   ;4.679412 ;G8-IIIa              
2652;* ups Leo                          ;*  ;11 36 56.9307649665 -00 49 25.499792021;   1.696 43.142     ;18.3461   ;1.57       ;0.000005    ;1.57       ;6.05     ;5.31     ;4.30     ;3.58     ;4.037509 ;G9IIIbFe-0.5         
2653;* e Leo                            ;*  ;11 30 18.8933524920 -03 00 12.598924644; 19.554 -16.149     ;6.5892    ;18.617399  ;0.000062    ;18.62      ;8.14     ;6.31     ;4.77     ;     ~   ;4.179657 ;K3+IIIFe-0.5         
2654;HD 100343                          ;*  ;11 32 47.5365594936 -07 49 39.090761508;   -7.516 0.131     ;5.7842    ;-1.3       ;-0.000004   ;-1.30      ;     ~   ;7.316    ;5.927    ;     ~   ;5.490694 ;K3III                
2655;* tet Crt                          ;PM*;11 36 40.9092052035 -09 48 08.001725582;  -59.995 3.959     ;10.8503   ;-4.24      ;-0.000014   ;-4.24      ;     ~   ;4.604    ;4.673    ;     ~   ;4.658411 ;B9.5V                
2656;* kap Crt                          ;PM*;11 27 09.5156860416 -12 21 24.296405220; -99.937 23.947     ;14.2499   ;8.69       ;0.000029    ;8.69       ;     ~   ;6.395    ;5.923    ;     ~   ;5.817464 ;F5/6III              
2657;* 17 Crt B                         ;PM*;11 32 16.0399546776 -29 15 47.899939428;-22.006 140.413     ;35.5239   ;9.8        ;0.000033    ;9.80       ;     ~   ;6.19     ;5.671    ;5.49     ;5.629444 ;F8V                  
2658;* 18 Crt                           ;*  ;11 32 54.1287004248 -31 05 14.011438740;  -29.500 6.543     ;7.7972    ;19.4       ;0.000065    ;19.40      ;8.65     ;6.70     ;5.11     ;3.77     ;4.388352 ;M1/2III              
2659;* ksi Hya                          ;** ;11 33 00.1149306166 -31 51 27.447975478;-210.158 -41.203    ;24.9632   ;-4.599     ;-0.000015   ;-4.60      ;5.17     ;4.47     ;3.54     ;2.84     ;3.292473 ;G7IIIb               
