C.D.S.  -  SIMBAD4 rel 1.8  -  2026.05.10CEST06:15:14

Vmag < 6 & maintypes='*'
------------------------

Number of objects : 5056

 #  ;            identifier             ;typ;       coord1 (ICRS,J2000/2000)        ;         pm         ;   plx    ;  radvel   ;  redshift  ;    cz     ;  Mag U  ;  Mag B  ;  Mag V  ;  Mag R  ;  Mag G  ;     spec. type      
----;-----------------------------------;---;---------------------------------------;--------------------;----------;-----------;------------;-----------;---------;---------;---------;---------;---------;---------------------
58  ;* alf Lac                          ;PM*;22 31 17.5014213452 +50 16 56.969913082; 137.243 17.540     ;31.4943   ;-12.66     ;-0.000042   ;-12.66     ;3.78     ;3.78     ;3.77     ;3.77     ;3.783707 ;A1V                  
59  ;* 4 Lac                            ;s*b;22 24 30.9914928480 +49 28 35.010584652;  -5.274 -3.303     ;1.2656    ;-26.00     ;-0.000087   ;-26.00     ;4.33     ;4.67     ;4.58     ;4.45     ;4.509516 ;B9Iab-Ib             
60  ;* 9 Lac                            ;PM*;22 37 22.4179184437 +51 32 42.435680257;-52.606 -103.664    ;18.6783   ;11.22      ;0.000037    ;11.22      ;4.98     ;4.87     ;4.63     ;4.41     ;4.566470 ;A9VkA7mA6            
61  ;V* V424 Lac                        ;s*r;22 56 25.9983901008 +49 44 00.758688324;  -0.649 -2.768     ;1.4018    ;-10.37     ;-0.000035   ;-10.37     ;8.66     ;6.71     ;4.94     ;3.59     ;4.216367 ;K5Ib                 
62  ;V* R Cas                           ;Mi*;23 58 24.8682785040 +51 23 19.713029388;  82.847 17.485     ;5.7423    ;-22.94     ;-0.000077   ;-22.94     ;6.71     ;6.63     ;4.80     ;     ~   ;6.743756 ;M6.5-9e              
63  ;HD 2054                            ;SB*;00 25 06.4104962808 +53 02 48.414792012;  22.171 -4.328     ;5.0585    ;3.40       ;0.000011    ;3.40       ;5.38     ;5.654    ;5.719    ;     ~   ;5.694212 ;B9IV                 
64  ;HD 1976                            ;SB*;00 24 15.6540035976 +52 01 11.703208404;  15.504 -4.061     ;2.4621    ;-9.70      ;-0.000032   ;-9.70      ;4.84     ;5.459    ;5.580    ;     ~   ;5.521783 ;B5IV                 
65  ;HD 2774                            ;PM*;00 31 41.1571969176 +52 50 22.301154708;-55.313 -12.798     ;9.6922    ;-51.52     ;-0.000172   ;-51.52     ;     ~   ;6.765    ;5.596    ;     ~   ;5.249924 ;K2III                
66  ;* nu. Cas                          ;*  ;00 48 50.0214949536 +50 58 05.394457956;  29.453 -8.152     ;9.1537    ;9.00       ;0.000030    ;9.00       ;     ~   ;4.789    ;4.891    ;     ~   ;4.867326 ;B9III                
67  ;* ksi Cas                          ;SB*;00 42 03.8922075864 +50 30 45.120403944;  16.126 -6.050     ;2.9022    ;-10.0      ;-0.000033   ;-10.00     ;4.05     ;4.71     ;4.81     ;4.82     ;4.776489 ;B3IV                 
68  ;* ups Per                          ;PM*;01 37 59.5580239328 +48 37 41.563066970;62.968 -111.999     ;18.5489   ;16.264     ;0.000054    ;16.26      ;6.29     ;4.85     ;3.57     ;2.61     ;3.209563 ;K3-IIICN0.5          
69  ;* 3 Per                            ;*  ;01 58 33.5059620456 +49 12 15.670560312;   7.051 41.686     ;12.694    ;-0.266746  ;-0.000001   ;-0.27      ;     ~   ;6.706    ;5.702    ;     ~   ;5.417739 ;K0IV                 
70  ;* c And                            ;PM*;02 19 16.7969275675 +47 22 47.913234056;   -60.03 -5.61     ;11.9531   ;-29.6      ;-0.000099   ;-29.60     ;     ~   ;5.310    ;5.310    ;     ~   ;5.300208 ;A0V                  
71  ;* 14 Per                           ;*  ;02 44 05.1600277584 +44 17 49.341411348;   2.314 -6.229     ;2.3511    ;-1.22      ;-0.000004   ;-1.22      ;     ~   ;6.320    ;5.435    ;     ~   ;5.183900 ;G0Ib-IIaCa1          
72  ;HD 18482                           ;*  ;02 59 39.8786231400 +41 01 58.585315800; 14.723 -46.981     ;4.5764    ;32.80      ;0.000109    ;32.80      ;     ~   ;7.326    ;5.877    ;     ~   ;5.378367 ;K2                   
73  ;* ome Per                          ;*  ;03 11 17.3819765876 +39 36 41.691289838;  -24.565 4.419     ;10.5460   ;6.60       ;0.000022    ;6.60       ;     ~   ;5.728    ;4.607    ;     ~   ;4.303629 ;K0III                
74  ;* bet Per                          ;SB*;03 08 10.1324535 +40 57 20.328013      ;     2.99 -1.66     ;36.27     ;4.0        ;0.000013    ;4.00       ;1.70     ;2.07     ;2.12     ;2.08     ;     ~   ;B8V                  
75  ;HD 20346                           ;*  ;03 17 45.7545100344 +39 17 00.141698796; 23.198 -17.076     ;6.1804    ;27.0       ;0.000090    ;27.00      ;     ~   ;6.005    ;5.967    ;     ~   ;5.966695 ;A2IV                 
76  ;* gam Cyg                          ;*  ;20 22 13.7018357 +40 15 24.044963      ;     2.39 -0.91     ;1.78      ;-5.906     ;-0.000020   ;-5.91      ;3.44     ;2.90     ;2.23     ;1.74     ;2.113725 ;F8Ib                 
77  ;HD 194193                          ;*  ;20 22 45.2956089144 +41 01 33.645143784;  0.476 -49.012     ;3.3097    ;2.25       ;0.000008    ;2.25       ;9.51     ;7.53     ;5.93     ;     ~   ;5.253952 ;K7III                
78  ;HD 197392                          ;*  ;20 41 56.5014626472 +41 43 00.748143012;    4.485 1.216     ;2.7093    ;-27.0      ;-0.000090   ;-27.00     ;     ~   ;5.550    ;5.664    ;     ~   ;5.648362 ;B8II-III             
79  ;HD 197139                          ;PM*;20 40 03.1592062992 +43 27 31.959372924;-70.376 -57.133     ;6.5338    ;-23.621401 ;-0.000079   ;-23.62     ;     ~   ;7.156    ;5.965    ;     ~   ;5.616895 ;K2III                
80  ;* 57 Cyg                           ;SB*;20 53 14.7587928897 +44 23 14.147866955;    9.719 2.191     ;5.8088    ;-19.5      ;-0.000065   ;-19.50     ;4.05     ;4.63     ;4.77     ;4.84     ;4.728380 ;B5V                  
81  ;* 60 Cyg                           ;Be*;21 01 10.9277453472 +46 09 20.795190696;    7.724 1.656     ;2.6621    ;-11.60     ;-0.000039   ;-11.60     ;4.23     ;5.226    ;5.432    ;     ~   ;5.348647 ;B1Ve                 
82  ;HD 199098                          ;*  ;20 53 18.5691518304 +45 10 54.050823876;   9.364 -4.213     ;3.67      ;-24.08     ;-0.000080   ;-24.08     ;     ~   ;6.550    ;5.462    ;     ~   ;5.189621 ;K0II                 
83  ;HD 199870                          ;SB*;20 58 19.4663810952 +44 28 18.140900268; 100.706 71.526     ;14.495    ;-28.70     ;-0.000096   ;-28.70     ;     ~   ;6.528    ;5.547    ;     ~   ;5.304339 ;K0III:Fe-0.5         
84  ;HD 199579                          ;Y*O;20 56 34.7779063080 +44 55 29.000891928;   0.464 -2.129     ;1.1507    ;-6.40      ;-0.000021   ;-6.40      ;5.16     ;6.01     ;5.96     ;     ~   ;5.894985 ;O6.5V((f))z          
85  ;HD 204411                          ;a2*;21 26 51.6219389280 +48 50 06.599806584;  58.696 25.457     ;8.3796    ;-15.26     ;-0.000051   ;-15.26     ;5.54     ;5.38     ;5.31     ;     ~   ;5.275362 ;A4VpSiCrHg           
86  ;HD 204153                          ;PM*;21 25 19.5488561064 +46 42 51.628763376; 188.777 48.142     ;29.3328   ;-7.35      ;-0.000025   ;-7.35      ;     ~   ;5.907    ;5.580    ;5.4      ;5.502326 ;F0V                  
87  ;HD 205314                          ;** ;21 32 56.5920346080 +49 58 39.478477980;  17.757 10.803     ;6.9818    ;-25.00     ;-0.000083   ;-25.00     ;     ~   ;5.721    ;5.755    ;     ~   ;5.745666 ;A0V                  
88  ;* pi.02 Cyg                        ;SB*;21 46 47.6097792927 +49 18 34.454260528;   5.478 -3.121     ;2.2801    ;-12.3      ;-0.000041   ;-12.30     ;3.4      ;4.11     ;4.18     ;     ~   ;4.184846 ;B2.5III              
89  ;HD 210715                          ;PM*;22 11 09.8935953888 +50 49 24.294385812; 142.430 35.646     ;17.8850   ;-9.72      ;-0.000032   ;-9.72      ;     ~   ;5.517    ;5.377    ;     ~   ;5.352735 ;A5V                  
